 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.20 
1564726009.68
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  34	
 102.4	  40	  66	  38	  64	  40	  68	  43	  66	
 204.8	  79	 132	  75	 128	  79	 135	  86	 132	
 409.6	 158	 263	 149	 255	 157	 269	 170	 264	
 819.2	 315	 524	 296	 507	 314	 537	 339	 525	
1638.4	 629	1048	 592	1016	 627	1075	 678	1052	
3276.8	1255	2090	1181	2026	1251	2143	1352	2097	
