 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.63 
1554278036.41
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   6	   8	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  19	  33	  22	  33	
 102.4	  41	  65	  40	  64	  39	  66	  43	  66	
 204.8	  81	 129	  78	 128	  77	 131	  86	 131	
 409.6	 163	 259	 157	 256	 153	 263	 171	 262	
 819.2	 324	 517	 313	 510	 305	 524	 342	 523	
1638.4	 647	1033	 624	1018	 610	1046	 682	1043	
3276.8	1294	2064	1248	2034	1219	2091	1363	2085	
