 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.30 
1561470804.94
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  90	 140	  85	 137	  87	 144	  94	 142	
 409.6	 179	 279	 170	 273	 174	 288	 188	 284	
 819.2	 356	 557	 340	 546	 347	 575	 375	 566	
1638.4	 710	1111	 677	1089	 692	1146	 749	1128	
3276.8	1419	2220	1353	2176	1383	2291	1496	2255	
