 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
7.98 
1560745751.22
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   6	   8	   5	   9	   6	   8	
  25.6	  11	  17	  11	  16	  10	  17	  11	  16	
  51.2	  22	  33	  21	  33	  21	  34	  22	  33	
 102.4	  43	  65	  41	  64	  41	  68	  43	  64	
 204.8	  86	 131	  83	 129	  81	 135	  87	 129	
 409.6	 171	 261	 165	 257	 161	 270	 173	 257	
 819.2	 341	 520	 328	 513	 321	 538	 345	 513	
1638.4	 681	1038	 655	1023	 641	1074	 688	1023	
3276.8	1362	2076	1310	2047	1282	2149	1375	2047	
