 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.37 
1563653307.29
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	  10	  16	  10	  17	  11	  16	
  51.2	  20	  32	  19	  31	  19	  33	  21	  32	
 102.4	  39	  64	  37	  62	  38	  65	  41	  64	
 204.8	  77	 127	  72	 124	  75	 129	  82	 128	
 409.6	 154	 254	 144	 248	 149	 259	 163	 255	
 819.2	 307	 507	 288	 495	 297	 517	 325	 510	
1638.4	 613	1012	 574	 988	 592	1031	 648	1017	
3276.8	1225	2021	1148	1973	1183	2059	1294	2033	
