 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.86 
1557962682.96
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  42	  66	  39	  64	  40	  67	  44	  66	
 204.8	  82	 131	  78	 128	  81	 134	  87	 132	
 409.6	 164	 262	 155	 255	 161	 268	 173	 263	
 819.2	 329	 525	 311	 510	 321	 537	 345	 526	
1638.4	 655	1046	 620	1018	 640	1070	 689	1050	
3276.8	1309	2092	1239	2034	1279	2139	1376	2098	
