 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
21.79 
1565549915.16
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  37	  64	  40	  67	  43	  66	
 204.8	  79	 131	  74	 127	  78	 134	  85	 131	
 409.6	 157	 261	 147	 253	 156	 268	 169	 262	
 819.2	 313	 522	 294	 506	 312	 535	 337	 524	
1638.4	 626	1045	 588	1013	 625	1071	 675	1049	
3276.8	1249	2086	1174	2021	1247	2138	1348	2093	
