 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.32 
1560262792.47
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  42	  68	  44	  67	
 204.8	  84	 133	  80	 130	  83	 136	  88	 134	
 409.6	 169	 265	 160	 261	 165	 273	 175	 267	
 819.2	 336	 529	 319	 520	 329	 543	 350	 532	
1638.4	 670	1055	 637	1038	 656	1084	 697	1062	
3276.8	1340	2110	1274	2076	1312	2169	1393	2124	
