 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.76 
1561732458.01
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  68	  44	  67	
 204.8	  82	 133	  77	 129	  81	 137	  87	 134	
 409.6	 162	 265	 153	 257	 160	 271	 173	 266	
 819.2	 323	 529	 305	 513	 320	 542	 345	 531	
1638.4	 645	1055	 608	1022	 637	1081	 687	1058	
3276.8	1289	2109	1216	2045	1274	2162	1375	2116	
