 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.65 
1561819542.99
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  39	  65	  41	  68	  44	  67	
 204.8	  82	 133	  77	 129	  81	 136	  87	 134	
 409.6	 163	 266	 153	 258	 161	 273	 173	 267	
 819.2	 325	 531	 306	 515	 321	 545	 346	 533	
1638.4	 646	1057	 609	1025	 639	1084	 689	1061	
3276.8	1292	2113	1217	2049	1277	2167	1378	2121	
