 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.92 
1563634102.59
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  34	  22	  34	
 102.4	  40	  67	  38	  65	  40	  68	  43	  67	
 204.8	  80	 133	  76	 129	  80	 136	  86	 133	
 409.6	 160	 265	 151	 257	 160	 272	 172	 266	
 819.2	 319	 528	 301	 512	 318	 542	 343	 531	
1638.4	 635	1050	 597	1018	 632	1077	 682	1054	
3276.8	1267	2097	1192	2033	1261	2150	1361	2105	
