 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.81 
1560589578.84
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  68	
 204.8	  82	 134	  78	 130	  81	 137	  88	 134	
 409.6	 165	 267	 156	 259	 162	 274	 175	 268	
 819.2	 328	 533	 310	 517	 323	 547	 349	 535	
1638.4	 655	1064	 619	1032	 646	1091	 697	1069	
3276.8	1309	2128	1237	2064	1292	2184	1393	2138	
