 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.10 
1562907658.68
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  34	  22	  34	
 102.4	  41	  67	  38	  64	  40	  68	  43	  67	
 204.8	  81	 133	  76	 129	  80	 136	  86	 133	
 409.6	 161	 265	 152	 257	 160	 272	 173	 267	
 819.2	 322	 529	 303	 513	 319	 543	 345	 532	
1638.4	 642	1057	 605	1025	 637	1085	 688	1062	
3276.8	1278	2105	1204	2041	1268	2159	1367	2113	
