 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
21.50 
1565276359.79
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	   9	  16	  10	  17	  11	  16	
  51.2	  20	  32	  18	  32	  19	  33	  21	  32	
 102.4	  39	  64	  36	  62	  38	  65	  41	  64	
 204.8	  77	 127	  72	 124	  75	 130	  81	 128	
 409.6	 153	 254	 143	 248	 149	 259	 162	 256	
 819.2	 305	 507	 285	 495	 296	 517	 324	 511	
1638.4	 608	1011	 567	 987	 591	1031	 646	1018	
3276.8	1214	2021	1134	1973	1180	2061	1290	2035	
