 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.62 
1557399527.01
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 129	  81	 135	  87	 133	
 409.6	 166	 264	 158	 257	 162	 270	 175	 265	
 819.2	 332	 528	 314	 513	 324	 540	 348	 530	
1638.4	 658	1048	 624	1019	 642	1071	 690	1050	
3276.8	1316	2092	1248	2037	1283	2142	1381	2101	
