 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.24 
1557498781.58
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  83	 133	  79	 129	  81	 136	  88	 133	
 409.6	 166	 264	 157	 257	 162	 270	 174	 265	
 819.2	 332	 528	 314	 513	 324	 540	 348	 530	
1638.4	 662	1054	 627	1025	 646	1078	 696	1058	
3276.8	1314	2094	1245	2036	1281	2141	1379	2099	
