 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.68 
1560826995.09
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 139	  85	 137	  87	 144	  94	 141	
 409.6	 178	 278	 170	 273	 173	 287	 188	 283	
 819.2	 356	 555	 339	 544	 346	 572	 375	 564	
1638.4	 710	1108	 677	1087	 689	1142	 747	1125	
3276.8	1416	2212	1352	2170	1376	2280	1491	2244	
