 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.47 
1557006757.33
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  64	  41	  68	  44	  66	
 204.8	  83	 132	  79	 128	  81	 135	  87	 132	
 409.6	 166	 264	 157	 256	 162	 269	 174	 264	
 819.2	 333	 529	 316	 514	 325	 541	 350	 531	
1638.4	 661	1051	 627	1022	 645	1075	 694	1054	
3276.8	1321	2100	1252	2042	1288	2146	1386	2106	
