 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.54 
1566169459.68
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   5	   8	
  25.6	  10	  16	   9	  16	  10	  17	  11	  16	
  51.2	  20	  32	  18	  31	  19	  33	  21	  32	
 102.4	  39	  64	  36	  62	  37	  65	  41	  64	
 204.8	  77	 127	  72	 124	  74	 130	  81	 128	
 409.6	 153	 254	 143	 248	 148	 259	 162	 256	
 819.2	 305	 507	 285	 495	 296	 517	 323	 511	
1638.4	 605	1009	 566	 985	 588	1028	 643	1015	
3276.8	1212	2021	1132	1972	1178	2060	1287	2033	
