 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.65 
1562467853.61
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  38	  65	  40	  68	  44	  67	
 204.8	  81	 132	  76	 128	  80	 135	  86	 133	
 409.6	 161	 264	 152	 256	 159	 270	 172	 265	
 819.2	 322	 528	 303	 513	 319	 542	 345	 531	
1638.4	 642	1054	 605	1023	 636	1081	 687	1059	
3276.8	1283	2106	1209	2043	1269	2159	1373	2115	
