 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.54 
1561604252.3
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 133	  77	 129	  81	 136	  87	 134	
 409.6	 163	 265	 153	 257	 161	 272	 173	 266	
 819.2	 325	 530	 307	 514	 321	 544	 347	 533	
1638.4	 650	1061	 613	1029	 643	1089	 693	1066	
3276.8	1299	2122	1226	2059	1285	2178	1387	2133	
