 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.24 
1555618728.2
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  84	 133	  80	 129	  82	 135	  88	 133	
 409.6	 167	 264	 159	 257	 162	 270	 175	 265	
 819.2	 333	 526	 316	 512	 323	 538	 349	 527	
1638.4	 665	1051	 631	1023	 646	1074	 697	1054	
3276.8	1328	2099	1260	2044	1290	2145	1391	2104	
