 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.16 
1554449608.43
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  33	  22	  33	
 102.4	  42	  65	  40	  64	  39	  66	  43	  66	
 204.8	  83	 130	  79	 128	  78	 132	  87	 132	
 409.6	 165	 260	 158	 256	 156	 264	 173	 263	
 819.2	 329	 519	 315	 510	 311	 527	 344	 524	
1638.4	 657	1036	 629	1019	 621	1052	 687	1048	
3276.8	1315	2074	1260	2040	1242	2107	1376	2097	
