 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.68 
1560653026.3
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  90	 140	  86	 137	  87	 144	  94	 142	
 409.6	 179	 279	 171	 273	 174	 287	 188	 283	
 819.2	 356	 556	 340	 545	 346	 573	 376	 565	
1638.4	 712	1110	 679	1090	 692	1145	 750	1128	
3276.8	1422	2220	1358	2179	1383	2290	1499	2255	
