 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
32.49 
1558113926.5
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  41	  66	  39	  64	  40	  67	  43	  66	
 204.8	  83	 132	  78	 128	  81	 135	  87	 132	
 409.6	 165	 263	 156	 255	 161	 269	 173	 264	
 819.2	 328	 524	 310	 509	 320	 536	 345	 526	
1638.4	 656	1049	 621	1019	 641	1073	 690	1052	
3276.8	1309	2093	1238	2034	1278	2141	1376	2099	
