 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.95 
1556070477.2
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 129	  82	 135	  88	 133	
 409.6	 168	 265	 160	 258	 163	 272	 176	 267	
 819.2	 335	 530	 318	 516	 326	 542	 352	 532	
1638.4	 669	1057	 635	1029	 650	1081	 702	1061	
3276.8	1336	2112	1268	2057	1299	2161	1401	2120	
