 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.63 
1559986088.75
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  23	  34	
 102.4	  42	  68	  40	  66	  41	  69	  44	  68	
 204.8	  83	 135	  79	 131	  82	 138	  88	 135	
 409.6	 166	 269	 157	 261	 164	 276	 177	 270	
 819.2	 332	 536	 314	 520	 327	 550	 352	 539	
1638.4	 660	1068	 625	1036	 651	1095	 701	1073	
3276.8	1319	2133	1248	2069	1299	2188	1399	2144	
