 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.66 
1554765243.51
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 129	  81	 135	  88	 133	
 409.6	 168	 264	 160	 258	 163	 270	 176	 266	
 819.2	 335	 528	 319	 516	 325	 540	 352	 531	
1638.4	 667	1053	 635	1028	 647	1075	 701	1057	
3276.8	1331	2103	1268	2052	1291	2147	1399	2111	
