 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
17.58 
1562739090.0
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  18	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  81	 133	  76	 129	  80	 136	  87	 134	
 409.6	 162	 266	 152	 258	 160	 273	 173	 267	
 819.2	 323	 530	 304	 514	 320	 544	 345	 533	
1638.4	 644	1060	 607	1028	 639	1087	 690	1065	
3276.8	1282	2109	1208	2044	1271	2162	1371	2116	
