 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.54 
1562529867.67
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  38	  65	  40	  68	  43	  67	
 204.8	  81	 133	  76	 129	  80	 136	  87	 133	
 409.6	 161	 264	 152	 256	 159	 270	 172	 265	
 819.2	 322	 528	 303	 512	 318	 541	 344	 530	
1638.4	 642	1053	 605	1021	 634	1079	 686	1057	
3276.8	1282	2104	1208	2041	1268	2156	1371	2113	
