 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.50 
1560861381.44
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  18	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  90	 140	  85	 137	  87	 144	  94	 142	
 409.6	 178	 278	 170	 273	 174	 287	 188	 283	
 819.2	 356	 556	 340	 546	 346	 574	 376	 565	
1638.4	 711	1109	 678	1088	 690	1145	 749	1127	
3276.8	1420	2218	1356	2176	1380	2289	1497	2252	
