 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.92 
1560294157.36
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 134	  79	 130	  82	 138	  88	 135	
 409.6	 165	 267	 156	 259	 162	 273	 175	 268	
 819.2	 329	 532	 311	 516	 323	 546	 349	 535	
1638.4	 658	1066	 622	1034	 648	1094	 699	1071	
3276.8	1314	2128	1242	2065	1294	2183	1394	2139	
