 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.70 
1561746162.17
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 133	  77	 129	  81	 137	  87	 134	
 409.6	 163	 266	 153	 258	 161	 273	 174	 267	
 819.2	 324	 530	 306	 514	 321	 543	 346	 532	
1638.4	 645	1054	 608	1023	 637	1081	 688	1058	
3276.8	1291	2111	1216	2048	1276	2165	1378	2120	
