 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.55 
1555177702.56
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  34	
 102.4	  42	  66	  40	  65	  40	  67	  44	  67	
 204.8	  84	 132	  80	 129	  79	 134	  87	 133	
 409.6	 167	 263	 159	 258	 158	 267	 174	 266	
 819.2	 334	 525	 319	 516	 317	 535	 349	 532	
1638.4	 666	1047	 635	1028	 631	1067	 694	1059	
3276.8	1329	2093	1269	2053	1260	2131	1386	2116	
