 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
32.82 
1556803987.67
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  34	
 102.4	  42	  66	  40	  65	  40	  67	  44	  67	
 204.8	  83	 131	  79	 129	  79	 134	  87	 133	
 409.6	 166	 262	 158	 257	 158	 268	 173	 266	
 819.2	 331	 523	 316	 513	 315	 534	 345	 530	
1638.4	 661	1044	 629	1024	 629	1064	 688	1056	
3276.8	1321	2088	1258	2048	1257	2129	1377	2112	
