 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
33.72 
1558111379.48
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  41	  66	  39	  64	  39	  67	  43	  66	
 204.8	  82	 131	  78	 128	  78	 133	  86	 132	
 409.6	 164	 261	 156	 276	 156	 266	 171	 264	
 819.2	 327	 521	 311	 510	 312	 531	 342	 527	
1638.4	 653	1041	 621	1019	 623	1062	 683	1052	
3276.8	1306	2081	1241	2040	1246	2124	1367	2105	
