 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.48 
1565737324.41
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  41	  68	  43	  71	  46	  70	
 204.8	  87	 138	  83	 135	  85	 143	  92	 140	
 409.6	 173	 276	 164	 269	 170	 284	 184	 279	
 819.2	 345	 550	 328	 537	 339	 567	 367	 558	
1638.4	 689	1098	 655	1073	 677	1133	 732	1113	
3276.8	1377	2194	1308	2144	1352	2264	1462	2224	
