 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.61 
1563244262.44
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  45	  70	  42	  68	  43	  72	  47	  71	
 204.8	  89	 139	  84	 136	  87	 144	  94	 141	
 409.6	 176	 277	 168	 272	 172	 286	 186	 282	
 819.2	 352	 554	 335	 542	 344	 572	 372	 562	
1638.4	 703	1107	 669	1084	 688	1142	 743	1123	
3276.8	1402	2208	1335	2161	1370	2278	1481	2239	
