 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
32.49 
1556980997.57
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  33	
 102.4	  42	  66	  40	  65	  40	  67	  44	  67	
 204.8	  83	 131	  79	 129	  79	 134	  86	 132	
 409.6	 165	 261	 157	 256	 157	 266	 172	 264	
 819.2	 331	 523	 315	 513	 315	 533	 345	 529	
1638.4	 660	1044	 628	1024	 628	1065	 688	1056	
3276.8	1318	2086	1255	2046	1255	2128	1374	2109	
