 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.51 
1554594857.59
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  42	  66	  40	  64	  41	  67	  44	  66	
 204.8	  84	 132	  80	 129	  81	 134	  88	 132	
 409.6	 167	 263	 159	 257	 161	 268	 175	 264	
 819.2	 333	 526	 317	 513	 322	 536	 350	 527	
1638.4	 665	1051	 634	1026	 644	1073	 699	1055	
3276.8	1327	2097	1265	2047	1285	2140	1394	2104	
