 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.78 
1555482617.8
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  34	
 102.4	  42	  66	  40	  65	  40	  67	  44	  67	
 204.8	  84	 132	  80	 129	  79	 134	  87	 133	
 409.6	 167	 262	 159	 257	 158	 267	 174	 265	
 819.2	 333	 524	 318	 514	 316	 534	 347	 530	
1638.4	 665	1047	 634	1028	 631	1068	 693	1059	
3276.8	1327	2091	1267	2052	1259	2131	1384	2115	
