 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.92 
1560785904.08
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  68	  44	  67	
 204.8	  82	 133	  78	 129	  81	 137	  87	 134	
 409.6	 164	 266	 155	 258	 161	 272	 174	 267	
 819.2	 326	 530	 308	 514	 322	 544	 347	 532	
1638.4	 652	1059	 615	1027	 642	1085	 692	1063	
3276.8	1301	2114	1228	2051	1282	2167	1381	2122	
