 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
33.97 
1558094789.0
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  41	  66	  39	  64	  39	  67	  43	  66	
 204.8	  82	 131	  78	 128	  79	 133	  86	 132	
 409.6	 164	 261	 156	 256	 156	 266	 172	 264	
 819.2	 327	 521	 311	 510	 312	 531	 342	 526	
1638.4	 654	1041	 621	1020	 623	1062	 684	1053	
3276.8	1304	2078	1239	2037	1245	2120	1364	2101	
