 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
13.47 
1559905758.38
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  33	
 102.4	  42	  66	  40	  65	  41	  68	  44	  66	
 204.8	  83	 131	  79	 129	  81	 134	  87	 132	
 409.6	 166	 263	 159	 259	 162	 269	 173	 264	
 819.2	 330	 523	 316	 515	 322	 536	 345	 526	
1638.4	 661	1046	 631	1031	 645	1072	 690	1052	
3276.8	1319	2088	1259	2057	1286	2139	1375	2099	
