 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.76 
1560375813.58
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 134	  78	 130	  81	 137	  88	 134	
 409.6	 164	 266	 155	 258	 162	 273	 174	 267	
 819.2	 327	 531	 309	 515	 322	 544	 348	 533	
1638.4	 654	1061	 618	1029	 644	1088	 694	1065	
3276.8	1309	2123	1237	2059	1289	2177	1390	2133	
