 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.78 
1557256373.66
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 128	  81	 135	  87	 133	
 409.6	 166	 264	 157	 256	 162	 270	 174	 265	
 819.2	 331	 526	 313	 511	 323	 538	 347	 527	
1638.4	 660	1050	 626	1021	 644	1073	 692	1053	
3276.8	1323	2104	1254	2046	1291	2153	1389	2112	
