 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.82 
1564782902.88
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  38	  64	  40	  68	  43	  66	
 204.8	  79	 132	  75	 128	  79	 135	  85	 132	
 409.6	 158	 262	 148	 254	 157	 269	 170	 263	
 819.2	 314	 523	 295	 508	 314	 537	 339	 526	
1638.4	 627	1044	 589	1013	 625	1071	 676	1049	
3276.8	1252	2086	1177	2023	1248	2138	1349	2093	
