 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.55 
1556798399.41
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   6	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 128	  81	 135	  87	 132	
 409.6	 166	 268	 158	 256	 162	 269	 174	 264	
 819.2	 332	 527	 315	 512	 324	 539	 348	 528	
1638.4	 664	1054	 629	1025	 648	1078	 697	1057	
3276.8	1325	2103	1255	2045	1291	2150	1390	2110	
