 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.65 
1560393054.66
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  34	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 139	  85	 136	  87	 143	  94	 141	
 409.6	 178	 277	 170	 272	 173	 286	 188	 282	
 819.2	 355	 553	 339	 543	 344	 570	 374	 562	
1638.4	 711	1108	 679	1088	 690	1143	 749	1125	
3276.8	1416	2208	1353	2168	1374	2276	1491	2241	
