 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.99 
1562167976.19
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  39	  65	  40	  68	  44	  67	
 204.8	  81	 133	  77	 129	  80	 136	  87	 133	
 409.6	 162	 266	 153	 258	 161	 273	 174	 267	
 819.2	 323	 530	 305	 514	 320	 543	 346	 532	
1638.4	 646	1058	 609	1026	 639	1085	 690	1063	
3276.8	1287	2109	1213	2046	1274	2163	1375	2118	
