 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.54 
1562556607.66
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	  10	  16	  10	  17	  11	  17	
  51.2	  20	  32	  19	  32	  19	  33	  21	  33	
 102.4	  40	  64	  37	  63	  38	  66	  42	  65	
 204.8	  79	 128	  74	 125	  75	 131	  83	 129	
 409.6	 156	 256	 147	 250	 150	 260	 165	 257	
 819.2	 312	 510	 294	 499	 300	 519	 328	 514	
1638.4	 623	1019	 586	 996	 598	1037	 655	1025	
3276.8	1244	2035	1171	1989	1194	2071	1309	2048	
