 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
22.32 
1565651777.03
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	   9	  16	  10	  17	  11	  16	
  51.2	  20	  32	  18	  31	  19	  33	  21	  32	
 102.4	  39	  64	  36	  62	  37	  65	  41	  64	
 204.8	  76	 127	  71	 124	  74	 129	  81	 128	
 409.6	 152	 254	 142	 248	 148	 259	 162	 256	
 819.2	 303	 506	 283	 493	 295	 515	 322	 509	
1638.4	 606	1011	 566	 987	 590	1031	 645	1018	
3276.8	1211	2021	1132	1972	1179	2061	1288	2035	
